category,query_id,query_number,avg_runtime_ms,min_runtime_ms,max_runtime_ms,runs,status,error,sql_preview
two_table_joins,Q014,125,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, c.C_NAME FROM   ORDERS   o JOIN   CUSTOMER c ON o.O_CUSTKEY = c.C_CUSTKEY WHERE  o.O_ORDERDATE BETW"
two_table_joins,Q015,126,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, c.C_NAME FROM   ORDERS   o JOIN   CUSTOMER c ON o.O_CUSTKEY = c.C_CUSTKEY WHERE  o.O_ORDERDATE   > "
two_table_joins,Q016,127,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, l.L_QUANTITY FROM   ORDERS  o JOIN   LINEITEM l ON o.O_ORDERKEY = l.L_ORDERKEY"
two_table_joins,Q017,128,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, l.L_QUANTITY FROM   ORDERS  o JOIN   LINEITEM l ON o.O_ORDERKEY = l.L_ORDERKEY WHERE  l.L_QUANTITY "
two_table_joins,Q018,129,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, l.L_QUANTITY FROM   ORDERS  o JOIN   LINEITEM l ON o.O_ORDERKEY = l.L_ORDERKEY WHERE  o.O_TOTALPRIC"
two_table_joins,Q019,130,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, l.L_SHIPDATE FROM   ORDERS  o JOIN   LINEITEM l ON o.O_ORDERKEY = l.L_ORDERKEY WHERE  l.L_SHIPDATE "
two_table_joins,Q020,131,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, l.L_DISCOUNT FROM   ORDERS  o JOIN   LINEITEM l ON o.O_ORDERKEY = l.L_ORDERKEY WHERE  l.L_DISCOUNT "
two_table_joins,Q021,132,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, l.L_QUANTITY FROM   ORDERS  o JOIN   LINEITEM l ON o.O_ORDERKEY = l.L_ORDERKEY WHERE  l.L_QUANTITY "
two_table_joins,Q022,133,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, l.L_QUANTITY FROM   ORDERS  o JOIN   LINEITEM l ON o.O_ORDERKEY = l.L_ORDERKEY WHERE  l.L_QUANTITY "
two_table_joins,Q023,134,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, l.L_DISCOUNT FROM   ORDERS  o JOIN   LINEITEM l ON o.O_ORDERKEY = l.L_ORDERKEY WHERE  l.L_DISCOUNT "
two_table_joins,Q024,135,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, l.L_SHIPDATE FROM   ORDERS  o JOIN   LINEITEM l ON o.O_ORDERKEY = l.L_ORDERKEY WHERE  l.L_SHIPDATE "
two_table_joins,Q025,136,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT o.O_ORDERKEY, l.L_QUANTITY FROM   ORDERS  o JOIN   LINEITEM l ON o.O_ORDERKEY = l.L_ORDERKEY WHERE  o.O_TOTALPRIC"
two_table_joins,Q026,137,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT p.P_PARTKEY, ps.PS_SUPPLYCOST FROM   PART     p JOIN   PARTSUPP ps ON p.P_PARTKEY = ps.PS_PARTKEY"
two_table_joins,Q027,138,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT p.P_PARTKEY, ps.PS_SUPPLYCOST FROM   PART     p JOIN   PARTSUPP ps ON p.P_PARTKEY = ps.PS_PARTKEY WHERE  p.P_SIZE"
two_table_joins,Q028,139,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT p.P_PARTKEY, ps.PS_SUPPLYCOST FROM   PART     p JOIN   PARTSUPP ps ON p.P_PARTKEY = ps.PS_PARTKEY WHERE  ps.PS_SU"
two_table_joins,Q029,140,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT p.P_PARTKEY, ps.PS_AVAILQTY FROM   PART     p JOIN   PARTSUPP ps ON p.P_PARTKEY = ps.PS_PARTKEY WHERE  ps.PS_AVAI"
two_table_joins,Q030,141,,,,3,ERROR,2013 (HY000): Lost connection to MySQL server during query,"SELECT p.P_PARTKEY, ps.PS_SUPPLYCOST FROM   PART     p JOIN   PARTSUPP ps ON p.P_PARTKEY = ps.PS_PARTKEY WHERE  p.P_RETA"
