query_id,category,avg_runtime_ms,min_runtime_ms,max_runtime_ms,runs,status,has_full_scan,full_scan_table_count,max_join_type_score,index_coverage_ratio,num_indexes_used,has_no_index,has_filesort,has_temp_table,num_tables,total_rows_examined,max_rows_examined,sql_preview
AGG_Q082,aggregation,39759.7767,34199.877,49931.9711,3,OK,"SELECT DATE_FORMAT(l_shipdate, '%Y-%m') AS ship_month, l_returnflag, SUM(l_exten"
AGG_Q083,aggregation,1194.2389,664.191,2239.5759,3,OK,"SELECT p_size, p_container, COUNT(*) AS part_count FROM part GROUP BY p_size, p_"
AGG_Q085,aggregation,1401.578,1183.0189,1816.9951,3,OK,"SELECT p_type, p_size, AVG(p_retailprice) AS avg_price FROM part GROUP BY p_type"
AGG_Q086,aggregation,34630.1816,30600.6308,42341.996,3,OK,"SELECT c_mktsegment, o_orderpriority, COUNT(*) AS order_count FROM orders JOIN c"
AGG_Q087,aggregation,109516.2153,92707.2799,133133.9672,3,OK,"SELECT r_name, c_mktsegment, SUM(l_extendedprice * (1 - l_discount)) AS revenue "
AGG_Q088,aggregation,2114.1563,2104.6939,2120.8169,3,OK,"SELECT r_name, c_mktsegment, AVG(c_acctbal) AS avg_balance FROM customer JOIN na"
AGG_Q089,aggregation,29994.765,29251.6248,30530.7121,3,OK,"SELECT YEAR(l_shipdate) AS ship_year, l_shipmode, SUM(l_extendedprice * l_discou"
AGG_Q090,aggregation,17939.9076,17118.3338,19305.512,3,OK,"SELECT YEAR(l_shipdate) AS ship_year, l_returnflag, COUNT(*) AS item_count FROM "
AGG_Q091,aggregation,2222.5357,2065.2409,2395.612,3,OK,"SELECT o_custkey, COUNT(*) AS order_count FROM orders GROUP BY o_custkey HAVING "
AGG_Q092,aggregation,6321.3523,2923.6469,13111.3431,3,OK,"SELECT ps_suppkey, SUM(ps_availqty) AS total_qty FROM partsupp GROUP BY ps_suppk"
AGG_Q093,aggregation,3691.0136,3518.3079,3791.0349,3,OK,"SELECT ps_partkey, AVG(ps_supplycost) AS avg_cost FROM partsupp GROUP BY ps_part"
AGG_Q094,aggregation,81717.4304,73249.9642,98045.8987,3,OK,"SELECT l_shipmode, AVG(l_discount) AS avg_discount FROM lineitem GROUP BY l_ship"
AGG_Q095,aggregation,191.7036,146.4179,277.1029,3,OK,"SELECT c_nationkey, COUNT(*) AS customer_count FROM customer GROUP BY c_nationke"
AGG_Q096,aggregation,35442.4087,33683.5532,38902.689,3,OK,"SELECT l_orderkey, SUM(l_extendedprice * (1 - l_discount)) AS order_revenue FROM"
AGG_Q097,aggregation,886.978,466.1367,1703.3262,3,OK,"SELECT p_mfgr, COUNT(*) AS part_count FROM part GROUP BY p_mfgr HAVING COUNT(*) "
AGG_Q098,aggregation,37616.2116,29680.737,53098.2039,3,OK,"SELECT o_custkey, AVG(o_totalprice) AS avg_order_value FROM orders GROUP BY o_cu"
AGG_Q099,aggregation,7625.6076,4050.2009,14732.259,3,OK,"SELECT ps_suppkey, AVG(ps_supplycost) AS avg_cost FROM partsupp GROUP BY ps_supp"
AGG_Q100,aggregation,1036.5653,1033.3869,1041.5769,3,OK,"SELECT ps_partkey, ps_suppkey, ps_availqty FROM partsupp WHERE ps_availqty < 100"
AGG_Q101,aggregation,2529.8286,1756.9349,4034.662,3,OK,"SELECT c_nationkey, AVG(c_acctbal) AS avg_balance FROM customer GROUP BY c_natio"
AGG_Q103,aggregation,1499.2814,1491.998,1509.0921,3,OK,"SELECT p_brand, COUNT(DISTINCT p_partkey) AS distinct_parts FROM part GROUP BY p"
AGG_Q104,aggregation,6303.3759,3945.0278,10966.4168,3,OK,"SELECT o_clerk, COUNT(*) AS order_count FROM orders GROUP BY o_clerk HAVING COUN"
AGG_Q105,aggregation,3647.5281,3176.1532,4575.6261,3,OK,"SELECT p_type, MAX(p_retailprice) AS max_price FROM part GROUP BY p_type HAVING "
AGG_Q106,aggregation,54923.2213,54212.2419,56013.006,3,OK,"SELECT l_suppkey, SUM(l_extendedprice * (1 - l_discount)) AS revenue FROM lineit"
AGG_Q107,aggregation,5139.8524,4983.057,5446.7351,3,OK,"SELECT YEAR(o_orderdate) AS order_year, SUM(o_totalprice) AS total_value FROM or"
AGG_Q108,aggregation,12.1624,10.016,16.4459,3,OK,"SELECT s_nationkey, COUNT(*) AS supplier_count FROM supplier GROUP BY s_nationke"
AGG_Q109,aggregation,1747.4084,1632.869,1975.6851,3,OK,"SELECT c_mktsegment, AVG(c_acctbal) AS avg_balance FROM customer GROUP BY c_mkts"
