category,query_id,query_number,avg_runtime_ms,status,error
three_table_joins,Q020,331,5.4546,OK,
three_table_joins,Q021,332,814.6983,OK,
three_table_joins,Q022,333,772.1349,OK,
three_table_joins,Q023,334,729.2089,OK,
three_table_joins,Q024,335,481.1757,OK,
three_table_joins,Q025,336,482.2412,OK,
three_table_joins,Q026,337,837.6329,OK,
three_table_joins,Q027,338,893.3311,OK,
three_table_joins,Q028,339,1153.9612,OK,
three_table_joins,Q029,340,962.5337,OK,
three_table_joins,Q030,341,289.7308,OK,
three_table_joins,Q031,342,715.2869,OK,
three_table_joins,Q032,343,601.5926,OK,
three_table_joins,Q033,344,679.5914,OK,
three_table_joins,Q034,345,473.6952,OK,
three_table_joins,Q035,346,850.6844,OK,
three_table_joins,Q036,347,847.9342,OK,
three_table_joins,Q037,348,697.5605,OK,
three_table_joins,Q038,349,835.6339,OK,
three_table_joins,Q039,350,330.5251,OK,
three_table_joins,Q040,351,424.8694,OK,
three_table_joins,Q041,352,1394.1758,OK,
three_table_joins,Q042,353,1456.0547,OK,
three_table_joins,Q043,354,1160.4112,OK,
three_table_joins,Q044,355,1824.7175,OK,
three_table_joins,Q045,356,1421.713,OK,
three_table_joins,Q046,357,1658.7709,OK,
three_table_joins,Q047,358,1536.1837,OK,
three_table_joins,Q048,359,1490.0366,OK,
three_table_joins,Q049,360,696.566,OK,
three_table_joins,Q050,361,1466.2783,OK,
three_table_joins,Q051,362,1877.4957,OK,
three_table_joins,Q052,363,484.7275,OK,
three_table_joins,Q053,364,4591.3254,OK,
three_table_joins,Q054,365,1978.6837,OK,
three_table_joins,Q055,366,707.1038,OK,
three_table_joins,Q056,367,1879.559,OK,
three_table_joins,Q057,368,2002.2408,OK,
three_table_joins,Q058,369,4825.8965,OK,
three_table_joins,Q059,370,583.2397,OK,
three_table_joins,Q060,371,1633.049,OK,
three_table_joins,Q061,372,645.9112,OK,
three_table_joins,Q062,373,263.6136,OK,
three_table_joins,Q063,374,93.2764,OK,
three_table_joins,Q064,375,709.5815,OK,
three_table_joins,Q065,376,698.1001,OK,
three_table_joins,Q066,377,484.3707,OK,
three_table_joins,Q067,378,596.5423,OK,
three_table_joins,Q068,379,545.0169,OK,
three_table_joins,Q069,380,220.2168,OK,
three_table_joins,Q070,381,347.7536,OK,
three_table_joins,Q071,382,2.7342,OK,
three_table_joins,Q072,383,0.8073,OK,
three_table_joins,Q073,384,0.4751,OK,
three_table_joins,Q074,385,1.2939,OK,
three_table_joins,Q075,386,1.4872,OK,
three_table_joins,Q076,387,1.2878,OK,
three_table_joins,Q077,388,0.6166,OK,
three_table_joins,Q078,389,1.3287,OK,
three_table_joins,Q079,390,0.476,OK,
three_table_joins,Q080,391,1.424,OK,
three_table_joins,Q081,392,17.3548,OK,
three_table_joins,Q082,393,3.3009,OK,
three_table_joins,Q083,394,3.4588,OK,
three_table_joins,Q084,395,14.961,OK,
three_table_joins,Q085,396,17.4004,OK,
three_table_joins,Q086,397,16.6639,OK,
three_table_joins,Q087,398,8.6784,OK,
three_table_joins,Q088,399,18.9122,OK,
three_table_joins,Q089,400,8.9274,OK,
three_table_joins,Q090,401,9.7107,OK,
three_table_joins,Q091,402,981.8142,OK,
